Store,cluster,Type
S0001,C,Existing
S0002,C,Existing
S0003,B,Existing
S0004,C,Existing
S0005,B,Existing
S0006,C,Existing
S0007,C,Existing
S0008,B,Existing
S0009,C,Existing
S0010,B,Existing
S0011,C,Existing
S0012,A,Existing
S0013,A,Existing
S0014,A,Existing
S0015,A,Existing
S0016,C,Existing
S0017,B,Existing
S0018,C,Existing
S0019,A,Existing
S0020,C,Existing
S0021,B,Existing
S0022,C,Existing
S0023,B,Existing
S0024,C,Existing
S0025,C,Existing
S0026,B,Existing
S0027,B,Existing
S0028,C,Existing
S0029,A,Existing
S0030,C,Existing
S0031,A,Existing
S0032,A,Existing
S0033,C,Existing
S0034,B,Existing
S0035,C,Existing
S0036,A,Existing
S0037,A,Existing
S0038,C,Existing
S0039,C,Existing
S0040,A,Existing
S0041,C,Existing
S0042,C,Existing
S0043,B,Existing
S0044,C,Existing
S0045,A,Existing
S0046,B,Existing
S0047,A,Existing
S0048,A,Existing
S0049,B,Existing
S0050,B,Existing
S0051,B,Existing
S0052,B,Existing
S0053,C,Existing
S0054,C,Existing
S0055,A,Existing
S0056,B,Existing
S0057,C,Existing
S0058,C,Existing
S0059,A,Existing
S0060,C,Existing
S0061,C,Existing
S0062,A,Existing
S0063,B,Existing
S0064,B,Existing
S0065,B,Existing
S0066,A,Existing
S0067,C,Existing
S0068,B,Existing
S0069,B,Existing
S0070,A,Existing
S0071,A,Existing
S0072,A,Existing
S0073,B,Existing
S0074,C,Existing
S0075,C,Existing
S0076,B,Existing
S0077,B,Existing
S0078,B,Existing
S0079,A,Existing
S0080,A,Existing
S0081,B,Existing
S0082,C,Existing
S0083,B,Existing
S0084,C,Existing
S0085,B,Existing
S0086,C,New
S0087,B,New
S0088,C,New
S0089,B,New
S0090,B,New
S0091,A,New
S0092,B,New
S0093,A,New
S0094,B,New
S0095,B,New
